Einrichtung,Strasse,PLZ,Stadt
"""Kolle 37"" Abenteuerlicher Bauspielplatz",Kollwitzstraße 35,10405,Berlin
"""Marie"" Abenteuerspielplatz",Marienburger Straße 42,10405,Berlin
"KJFE im ""Gartenhaus an der Marie""",Winsstraße 49,10405,Berlin
Sportjugendclub in Prenzlauer Berg,Kollwitzstraße 8,10405,Berlin
Jugendkulturzentrum Königstadt,Saarbrücker Straße 23,10405,Berlin
Dimi,Danziger Straße 111,10405,Berlin
"Jugendberufshilfeberatung Berlin-Pankow, Rathaus Prenzlauer Berg",Fröbelstraße 17,10405,Berlin
Kinderfreizeiteinrichtung Esmarchstraße,Esmarchstraße 27,10407,Berlin
JFE Pasteurstraße,Pasteurstraße 22,10407,Berlin
Kinder- und Jugendfreizeiteinrichtung Club Atelier 89,Hanns-Eisler-Straße 7,10409,Berlin
"mezen ""Medienkompetenzzentrum Pankow""",Hosemannstraße 14,10409,Berlin
Jugendverkehrsschule Prenzlauer Berg,Thomas-Mann-Straße 65,10409,Berlin
Gangway - Team Pankow Süd,Thomas-Mann-Straße 65,10409,Berlin
GO-Gendereinrichtung Schönhauser Allee,Schönhauser Allee 165,10435,Berlin
Jugendfarm Moritzhof,Schwedter Straße 90,10437,Berlin
MACHmit! Museum für Kinder,Senefelderstraße 5,10437,Berlin
Popel Bühne,Dunckerstraße 16,10437,Berlin
SportJugendzentrum Lychener Str.,Lychener Straße 75,10437,Berlin
Schülerklub an der Grundschule am Falkplatz,Gleimstraße 49,10437,Berlin
Jugendnetzwerk lambda,Sonnenburger Straße 69,10437,Berlin
Spielwagen,Dunckerstraße 11,10437,Berlin
Jobteam Pankow,Schönhauser Allee 51,10437,Berlin
"""W 24"" Kinder- und Jugendzentrum",Wichertstraße 24,10439,Berlin
Fallobst,Ibsenstraße 17,10439,Berlin
OC23,Langhansstraße 23,13086,Berlin
Schülerklub der ISS Heinz-Brandt-Schule,Roelckestraße 171,13086,Berlin
Jugendverkehrsschule Weißensee,Rennbahnstraße 62,13086,Berlin
"""Bunte Kuh"" Haus der Jugend",Bernkasteler Straße 78,13088,Berlin
MAXIM - Kinder- und Jugendkulturzentrum,Charlottenburger Straße 117,13088,Berlin
"""NO LIMIT"" Tanzwerkstatt",Buschallee 87,13088,Berlin
Mahlerstraße 20,Mahlerstraße 20,13088,Berlin
FiPP-NiSCHE & Freiraum,Mahlerstraße 4,13088,Berlin
Zukunftswerkstatt Heinersdorf,Romain-Rolland-Straße 112,13089,Berlin
Der Alte,Wiltbergstraße 27,13125,Berlin
Sportjugendclub Buch,Karower Chaussee 169C,13125,Berlin
Der Würfel,Wolfgang-Heinz-Straße 45,13125,Berlin
"""Moorwiese"" Abenteuer- und Archäologiespielplatz",Wiltbergstraße 29B,13125,Berlin
Abenteuerspielplatz INGE,Ingwäonenweg 62,13125,Berlin
"""K - vierzehn""",Achillesstraße 14,13125,Berlin
Gangway - Team Pankow Nord,Karower Chaussee 169C,13125,Berlin
"Jugendberufshilfeberatung Berlin-Pankow, Beratungshaus Buch",Franz-Schmidt-Straße 8,13125,Berlin
Outreach - Mobile Jugendarbeit Berlin,Bahnhofstraße 32,13125,Berlin
"SportJugendZentrum ""Buchholz""",Blankenfelder Straße 50,13127,Berlin
"""Franz B."" Aktivspielplatz",Blankenfelder Straße 106,13127,Berlin
Oktopus,Parkstraße 12,13127,Berlin
Schülerclub im Oktopus,Berliner Straße 19,13127,Berlin
"FiPP Schülerklub ""Kunterbunt""",Alt-Blankenburg 26,13129,Berlin
Der Blankenburger,Gernroder Straße 6,13129,Berlin
Kulti,Majakowskiring 58,13156,Berlin
Kurt Lade Klub,Grabbeallee 33,13156,Berlin
FIPP-Schülerklub - Grundschule im Hasengrund,Charlottenstraße 19,13156,Berlin
"Kinderbauernhof Pankow ""Pinke-Panke""",Am Bürgerpark 15,13156,Berlin
Outreach - Mobile Jugendarbeit Berlin,Klothildestraße 21,13156,Berlin
Toller 31,Tollerstraße 31,13158,Berlin
Jugendverkehrsschule Pankow,Straße vor Schönholz 20,13158,Berlin
Outreach - Mobile Jugendarbeit Berlin,Hauptstraße 94,13158,Berlin
Landhaus Rosenthal,Hauptstraße 94,13158,Berlin
Kinder-Kiez-Klub Pankow,Brixener Straße 40,13187,Berlin
Schabracke,Pestalozzistraße 8A,13187,Berlin
JUP - Unabhängiges Jugendzentrum Pankow,Florastraße 84,13187,Berlin
Jugendkulturzentrum m24,Mühlenstraße 24,13187,Berlin
Garage Pankow,Hadlichstraße 3,13187,Berlin
Outreach - Mobile Jugendarbeit Berlin,Hadlichstraße 3,13187,Berlin
"Familienzentrum ""Upsala""",Upsalaer Straße 6,13189,Berlin
tivolotte Mädchenclub,Berliner Straße 27,13189,Berlin